,이름,설명
18,홍영표,"환경노동위원회(위원장)
더불어민주당
인천 부평구 을 / 3선

(현) 더불어민주당 원내대표
노동문제에 관심이 많아요.

친일파의 후손임을 스스로 인정했어요.
반성과 속죄의 차원에서 독립운동가 후손들을 돕는 일에 힘쓰고 있어요.

노동시간 단축(68->52)법안을 통과시켰어요.
한국 GM 대책특별위원회 위원장으로서 정부와 노사간 협의를 이끌어 냈어요.
"
19,한정애,"환경노동위원회
더불어민주당
서울 강서구 병 / 2선

(전) 한국노동조합총연맹 대외협력본부장
(현) 더불어민주당 홍보위원장
노동, 동물에 관심이 많아요.

별명 : 국회캣맘(국회 의원회관 길고양이들을 돌보고 있어요)

동물보호법을 강화하는 법률개정안을 발의했어요.
동물생산업을 신고제에서 허가제로 바꾸는 법을 통과시켰어요.
"
14,임이자,"여성가족위원회 / 환경노동위원회(간사)
자유한국당
비례대표 / 1선

한국노총 중앙여성위원회 위원장을 지냈어요.
26년 넘게 여성 노동 전문가로 활동할 정도로 노동에 관심이 많아요.

터프하고 시원시원한 목소리로 ‘여자 홍준표’로 불려요!
"
16,김삼화,"여성가족위원회 / 환경노동위원회(간사)
바른미래당
비례대표 / 1선

변호사 출신
미투응원법(이윤택 처벌법)을 발의했어요.
여성,노동에 관심이 많아요
"
20,강병원,"환경노동위원회
더불어민주당
서울 은평구 을 / 1선

(전) 노무현 대통령비서실 행정관
(전) 서울대학교 총학생회장
(현) 더불어민주당 원내대변인
노동에 관심이 많아요!

‘직장 내 갑질 근절법’을 발의했어요.
"
21,서형수,"환경노동위원회 
더불어민주당
경상남도 양산시 을 / 1선

(전) 사회적기업가학교 교장
(전) 한겨레신문 사장
사회적경제, 환경에 관심이 많아요.

물관리 분야의 환경우수의원으로 2년 연속 선정됐어요!
"
22,송옥주,"환경노동위원회 / 국회운영위원회
더불어민주당
비례대표 / 1선

미세먼지대책특별위원회 위원
미세먼지, 에너지에 관심이 많아요.

기후변화대응, 지속가능발전 5대 법안을 발의했어요.
에너지기후분야에서 우수 환경의원으로 선정됬어요.
"
23,신창현,"환경노동위원회 
더불어민주당
경기 의왕,과천시 / 1선

환경운동가(환경정책연구소 연구소장) 출신
연고 없는 의왕시 시장에 출마하여 당선한 경력이 있어요.
환경, 노동에 관심이 많아요.

‘의료용 대마초 합법화’ 법안을 발의했어요.
‘퇴근후 업무카톡 금지’ 법안을 발의했어요.
"
24,이용득,"환경노동위원회
더불어민주당
비례대표 / 1선

노동운동가 (한국노동조합총연맹 위원장) 출신
노동(특히 노동조합)에 관심이 많아요.

효도왕
추경 예산안 심의날 효도관광을 가서 불참한 해프닝이 있었어요.
"
25,문진국,"환경노동위원회 
자유한국당
비례대표 / 1선

(전) 한국노동조합총연맹 위원장
(전) 택시노동조합 위원장
노동에 관심이 많아요.
"
26,신보라,"환경노동위원회 / 국회운영위원회
자유한국당
비례대표 / 1선

(전) ‘청년이 여는 미래’ 대표
(현) 자유한국당 원내대변인
83년 생으로 국회의원들 중 젊은 편에 속해요.
육아, 일자리에 관심이 많아요.(본인이 예비맘)

최근 ‘초보 엄마아빠를 위한 행복한 육아 4종 패키지’법안을 발의했어요.
"
27,장석춘,"환경노동위원회 / 국회운영위원회
자유한국당
경북 구미시 을 / 1선

(현) 자유한국당 노동위원장
노동에 관심이 많아요.

공휴일 모든 근로자를 유급휴무로 지정하는 법을 발의했어요.
"
28,이상돈,"환경노동위원회 
바른미래당
비례대표 / 1선

(전) 조선일보 비상임 논설위원
이회창 캠프에서 활동했어요.
환경, 특히 문화유산에 관심이 많아요.

천주교 세례명 : 이냐시오 데 로욜라

바른미래당이지만 민주평화당에서 정책연구원장을 맡고 있어요. (비례대표이므로 당 변경 불가)
"
29,하태경,"환경노동위원회
바른미래당
부산 해운대구 갑 / 2선

북한주민의 인권운동에 힘쓰고 있어요.
북한인권, 환경에 관심이 많아요.

별명 : 하태하태 , 북한인권맨, 전투형 유승민
페이스북 : 하태경의 라디오하하

최순실 청문회 스타 중 한명이에요.
정청래, 이용주의원과 함께 노안으로 유명해요.
축구를 잘하기로 소문 나있어요. ( 중거리슛이 전매특허 )
"
30,이정미,"환경노동위원회 
정의당
비례대표 / 1선

(현) 정의당 당대표
스스로를 페미니스트 당대표라고 지칭

퀴어문화축제에서 동성결혼 등과 관련한 정책을 약속했어요.
정의당 알바노동상담센터를 운영하고 있어요.
알바 인권법을 발의했어요.
노동, 인권에 관심이 많아요.

무한도전 출연
키가 큰 편이에요.(175~176)
천주교 세례명 : 오틸리아
"
